Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,35.33468337803073,0.759089830855848,5.866080982138985,38.820968478351105
GPR55,11.908003890382734,0.15563555328644327,5.866080982138985,38.820968478351105
GPR18,-23.464317033448857,-0.7555297862273639,5.866080982138985,38.820968478351105
GPR119,,,5.866080982138985,38.820968478351105
TRPV1,14.988681043726949,0.23499156304344315,5.866080982138985,38.820968478351105
TRPV2,,,5.866080982138985,38.820968478351105
TRPV3,,,5.866080982138985,38.820968478351105
TRPV4,,,5.866080982138985,38.820968478351105
PPARA,4.538253657627448,-0.03420386910883003,5.866080982138985,38.820968478351105
PPARD,2.597402597402604,-0.0841987851632087,5.866080982138985,38.820968478351105
PPARG,,,5.866080982138985,38.820968478351105
NR1I2,,,5.866080982138985,38.820968478351105
NAPEPLD,68.59573175362648,1.6158703203519846,5.866080982138985,38.820968478351105
PLCB1,2.597402597402599,-0.08419878516320882,5.866080982138985,38.820968478351105
PLCE1,,,5.866080982138985,38.820968478351105
DAGLA,32.42222893385683,0.6840671161134771,5.866080982138985,38.820968478351105
DAGLB,-94.99524865378524,-2.598114719682239,5.866080982138985,38.820968478351105
FAAH,,,5.866080982138985,38.820968478351105
NAAA,28.35636585636585,0.5793334312813138,5.866080982138985,38.820968478351105
MGLL,60.47286047286049,1.4066310458270384,5.866080982138985,38.820968478351105
ABHD6,,,5.866080982138985,38.820968478351105
ABHD12,,,5.866080982138985,38.820968478351105
PTGS2,2.5974025974026,-0.08419878516320879,5.866080982138985,38.820968478351105
ALOX5,2.5974025974026014,-0.08419878516320876,5.866080982138985,38.820968478351105
ALOX12,,,5.866080982138985,38.820968478351105
ALOX15,2.597402597402594,-0.08419878516320896,5.866080982138985,38.820968478351105
FABP1,,,5.866080982138985,38.820968478351105
FABP3,,,5.866080982138985,38.820968478351105
FABP5,5.228105228105237,-0.01643379284547014,5.866080982138985,38.820968478351105
FABP7,,,5.866080982138985,38.820968478351105
HSPA1A,,,5.866080982138985,38.820968478351105
SLCO2B1,,,5.866080982138985,38.820968478351105
SLC22A5,,,5.866080982138985,38.820968478351105
GNAI1,,,5.866080982138985,38.820968478351105
GNAI2,,,5.866080982138985,38.820968478351105
GNAI3,,,5.866080982138985,38.820968478351105
ARRB1,-56.648984817998894,-1.6103427670796007,5.866080982138985,38.820968478351105
GRK2,,,5.866080982138985,38.820968478351105
AKT1,,,5.866080982138985,38.820968478351105
AEA,,,5.866080982138985,38.820968478351105
2-AG,,,5.866080982138985,38.820968478351105
Noladin,,,5.866080982138985,38.820968478351105
Virodhamine,,,5.866080982138985,38.820968478351105
NADA,,,5.866080982138985,38.820968478351105
AA,,,5.866080982138985,38.820968478351105
OEA,,,5.866080982138985,38.820968478351105
PEA,,,5.866080982138985,38.820968478351105
LEA,,,5.866080982138985,38.820968478351105
NAGly,,,5.866080982138985,38.820968478351105
Δ9-THC,,,5.866080982138985,38.820968478351105
Δ8-THC,,,5.866080982138985,38.820968478351105
THCA,,,5.866080982138985,38.820968478351105
THCV,,,5.866080982138985,38.820968478351105
CBD,,,5.866080982138985,38.820968478351105
CBDA,,,5.866080982138985,38.820968478351105
CBDV,,,5.866080982138985,38.820968478351105
CBG,,,5.866080982138985,38.820968478351105
CBGA,,,5.866080982138985,38.820968478351105
CBC,,,5.866080982138985,38.820968478351105
CBN,,,5.866080982138985,38.820968478351105
CBL,,,5.866080982138985,38.820968478351105
"WIN55,212-2",,,5.866080982138985,38.820968478351105
"WIN55,212-3",,,5.866080982138985,38.820968478351105
"CP55,940",,,5.866080982138985,38.820968478351105
HU-210,,,5.866080982138985,38.820968478351105
HU-211,,,5.866080982138985,38.820968478351105
JWH-018,,,5.866080982138985,38.820968478351105
JWH-073,,,5.866080982138985,38.820968478351105
JWH-133,,,5.866080982138985,38.820968478351105
AM251,,,5.866080982138985,38.820968478351105
SR141716A,,,5.866080982138985,38.820968478351105
SR144528,,,5.866080982138985,38.820968478351105
PGE2,,,5.866080982138985,38.820968478351105
PGD2,,,5.866080982138985,38.820968478351105
PGA2,,,5.866080982138985,38.820968478351105
12-HETE,,,5.866080982138985,38.820968478351105
15-HETE,,,5.866080982138985,38.820968478351105
5-HPETE,,,5.866080982138985,38.820968478351105
LTB4,,,5.866080982138985,38.820968478351105
